id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
1369384,f,1,1,2,1.0,1.0,1.0,6523,$61.00,2,7,125,9.533333333333333
1392594,f,1,1,6,2.0,3.0,8.0,6523,$168.00,3,28,24,9.35
1428024,f,1,1,2,1.0,1.0,0.0,6523,$79.00,2,1125,87,9.45
1461451,t,16,16,1,2.0,1.0,1.0,6523,$17.00,1,1125,157,9.35
1468342,t,1,1,2,1.0,1.0,1.0,6523,$55.00,2,7,123,9.483333333333334
1475647,t,16,16,1,2.0,1.0,1.0,6523,$17.00,1,1125,99,9.716666666666667
1502674,t,10,10,5,1.0,2.0,2.0,6523,$103.00,4,180,40,9.55
1502700,t,10,10,10,2.0,4.0,4.0,6523,$401.00,4,120,16,9.066666666666666
1516154,t,80,80,2,,1.0,1.0,6523,$80.00,31,1125,18,9.366666666666667
1541692,f,1,1,2,1.0,1.0,1.0,6523,$55.00,3,7,94,9.566666666666666
1554433,t,1,1,2,1.5,1.0,1.0,6523,$49.00,2,1125,166,9.85
1573401,f,4,4,4,1.0,1.0,2.0,6523,$30.00,2,14,187,9.816666666666666
1584422,f,7,7,10,3.0,3.0,9.0,6523,$198.00,3,30,26,9.816666666666666
1584509,f,2,2,11,5.0,5.0,9.0,6523,$470.00,2,1125,61,9.533333333333333
1587078,f,5,5,4,1.0,,2.0,6523,$149.00,2,1125,293,9.95
1591370,t,1,1,6,1.0,1.0,5.0,6523,$88.00,2,29,102,9.85
1614802,t,1,1,3,1.0,1.0,2.0,6523,$64.00,4,90,276,9.9
1620098,f,0,0,2,1.0,1.0,1.0,6523,$43.00,1,28,11,8.516666666666666
1623463,t,1,1,6,1.0,2.0,2.0,6523,$149.00,2,31,40,10.0
1641601,t,1,1,2,1.0,1.0,0.0,6523,$70.00,4,120,275,9.8
1648786,t,1,1,4,1.0,2.0,2.0,6523,$32.00,2,30,84,9.666666666666668
1656336,t,2,2,4,1.0,2.0,2.0,6523,$55.00,1,30,277,9.533333333333333
1663673,t,6,6,4,1.0,1.0,2.0,6523,$88.00,5,100,325,9.9
1664842,f,0,0,3,1.0,1.0,1.0,6523,$57.00,90,210,11,9.25
1668481,f,1,1,4,1.0,2.0,2.0,6523,$86.00,59,210,112,9.766666666666666
1672647,f,1,1,7,1.0,2.0,3.0,6523,$89.00,3,365,233,9.35
